date,time,quarter,department,day,team,targeted_productivity,smv,over_time,incentive,idle_time,idle_men,no_of_style_change,no_of_workers,actual_productivity
1/1/2015,17:39:22,Quarter1,sweing,Thursday,8,0.8,26.16,7080,98,0.0,0,0,59.0,0.940725424
1/1/2015,17:05:31,Quarter1,finishing ,Thursday,1,0.75,3.94,960,0,0.0,0,0,8.0,0.8865
1/1/2015,19:08:19,Quarter1,sweing,Thursday,11,0.8,11.41,3660,50,0.0,0,0,30.5,0.800570492
1/1/2015,14:32:41,Quarter1,sweing,Thursday,12,0.8,11.41,3660,50,0.0,0,0,30.5,0.800570492
1/1/2015,14:24:21,Quarter1,sweing,Thursday,6,0.8,25.9,1920,50,0.0,0,0,56.0,0.800381944
1/1/2015,21:34:16,Quarter1,sweing,Thursday,7,0.8,25.9,6720,38,0.0,0,0,56.0,0.800125
1/1/2015,19:55:49,Quarter1,finishing ,Thursday,2,0.75,3.94,960,0,0.0,0,0,8.0,0.755166667
1/1/2015,14:13:58,Quarter1,sweing,Thursday,3,0.75,28.08,6900,45,0.0,0,0,57.5,0.753683478
1/1/2015,08:07:59,Quarter1,sweing,Thursday,2,0.75,19.87,6000,34,0.0,0,0,55.0,0.753097531
1/1/2015,20:34:49,Quarter1,sweing,Thursday,1,0.75,28.08,6900,45,0.0,0,0,57.5,0.750427826
1/1/2015,17:05:39,Quarter1,sweing,Thursday,9,0.7,28.08,6900,44,0.0,0,0,57.5,0.721126957
1/1/2015,07:13:48,Quarter1,sweing,Thursday,10,0.75,19.31,6480,45,0.0,0,0,54.0,0.712205247
1/1/2015,18:55:48,Quarter1,sweing,Thursday,5,0.8,11.41,3660,50,0.0,0,0,30.5,0.707045902
1/1/2015,06:45:54,Quarter1,finishing ,Thursday,10,0.65,3.94,960,0,0.0,0,0,8.0,0.705916667
1/1/2015,20:45:30,Quarter1,finishing ,Thursday,8,0.75,2.9,960,0,0.0,0,0,8.0,0.676666667
1/1/2015,09:08:23,Quarter1,finishing ,Thursday,4,0.75,3.94,2160,0,0.0,0,0,18.0,0.593055556
1/1/2015,19:00:34,Quarter1,finishing ,Thursday,7,0.8,2.9,960,0,0.0,0,0,8.0,0.540729167
1/1/2015,06:38:28,Quarter1,sweing,Thursday,4,0.65,23.69,7200,0,0.0,0,0,60.0,0.52118
1/1/2015,19:12:17,Quarter1,finishing,Thursday,11,0.7,4.15,1440,0,0.0,0,0,12.0,0.436326389
1/3/2015,10:57:48,Quarter1,finishing ,Saturday,4,0.8,4.15,6600,0,0.0,0,0,20.0,0.988024691
1/3/2015,11:21:37,Quarter1,finishing ,Saturday,11,0.75,2.9,5640,0,0.0,0,0,17.0,0.987880435
1/3/2015,22:58:31,Quarter1,finishing ,Saturday,9,0.8,4.15,960,0,0.0,0,0,8.0,0.956270833
1/3/2015,11:19:51,Quarter1,finishing ,Saturday,3,0.75,3.94,1560,0,0.0,0,0,8.0,0.945277778
1/3/2015,20:17:33,Quarter1,finishing ,Saturday,1,0.8,3.94,960,0,0.0,0,0,8.0,0.902916667
1/3/2015,16:17:28,Quarter1,sweing,Saturday,1,0.8,28.08,6300,50,0.0,0,0,56.5,0.800725314
1/3/2015,10:18:25,Quarter1,sweing,Saturday,3,0.8,28.08,6540,50,0.0,0,0,54.5,0.800322936
1/3/2015,13:07:57,Quarter1,sweing,Saturday,8,0.8,26.16,7080,50,0.0,0,0,59.0,0.800318644
1/3/2015,17:05:08,Quarter1,sweing,Saturday,12,0.8,26.16,7080,63,0.0,0,0,59.0,0.800318644
1/3/2015,06:36:38,Quarter1,sweing,Saturday,11,0.8,11.61,7080,50,0.0,0,0,29.5,0.800237288
1/3/2015,18:30:31,Quarter1,sweing,Saturday,5,0.8,11.61,7080,50,0.0,0,0,31.5,0.800148649
1/3/2015,15:28:28,Quarter1,sweing,Saturday,6,0.8,25.9,6720,50,0.0,0,0,56.0,0.800125
1/3/2015,14:35:06,Quarter1,sweing,Saturday,7,0.8,25.9,6720,38,0.0,0,0,56.0,0.800125
1/3/2015,06:16:59,Quarter1,sweing,Saturday,10,0.75,19.31,6480,56,0.0,0,0,54.0,0.787299691
1/3/2015,06:54:50,Quarter1,finishing ,Saturday,2,0.8,4.15,960,0,0.0,0,0,8.0,0.782447917
1/3/2015,16:30:00,Quarter1,sweing,Saturday,2,0.75,19.87,6600,45,0.0,0,0,55.0,0.75024303
1/3/2015,18:39:18,Quarter1,finishing ,Saturday,10,0.7,4.15,960,0,0.0,0,0,8.0,0.7018125
1/3/2015,20:00:54,Quarter1,sweing,Saturday,4,0.7,23.69,13800,0,0.0,0,0,60.0,0.700134038
1/3/2015,09:09:46,Quarter1,sweing,Saturday,9,0.7,28.08,6900,40,0.0,0,0,57.5,0.699965217
